DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	A00	B00	C00
220222	15/15	15/15	14/15	15/15	15/15	0/0	15/15	10/15	4/15	2/15	15/15	14/15	8/15	10/15	13/15	14/15	6/15	0/0	5/15	11/15	15/15	14/15	12/15	6/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	2/15	10/15	9/15	5/15	0/0	7/15	14/15	11/15	15/15	8/15	N/A	N/A	N/A
220223	15/15	14/15	14/15	15/15	15/15	0/0	15/15	10/15	4/15	2/15	15/15	15/15	8/15	11/15	14/15	14/15	6/15	0/0	5/15	12/15	15/15	13/15	13/15	6/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	2/15	10/15	9/15	5/15	0/0	7/15	14/15	12/15	15/15	8/15	N/A	N/A	N/A
220224	15/15	14/15	15/15	15/15	15/15	0/0	15/15	10/15	4/15	2/15	15/15	15/15	8/15	11/15	14/15	14/15	6/15	0/0	5/15	12/15	15/15	13/15	14/15	6/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	2/15	11/15	10/15	5/15	0/0	8/15	13/15	12/15	15/15	9/15	N/A	N/A	N/A
220225	15/15	14/15	14/15	15/15	15/15	0/0	15/15	10/15	4/15	3/15	15/15	15/15	8/15	12/15	15/15	15/15	6/15	0/0	5/15	14/15	15/15	15/15	15/15	9/15	4/15	4/15	1/15	5/15	0/0	0/0	14/15 WL1	15/15	3/15	12/15	10/15	5/15	0/0	9/15	14/15	13/15	15/15	11/15	N/A	N/A	N/A
220226	15/15 WL1	15/15	15/15	15/15	15/15	0/0	15/15	14/15	9/15	10/15	15/15	15/15	8/15	14/15	15/15	15/15	8/15	0/0	5/15	15/15	15/15	15/15	15/15 WL1	14/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	7/15	14/15	11/15	6/15	0/0	10/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220227	15/15 WL1	15/15	15/15	15/15	15/15	0/0	15/15	14/15	9/15	10/15	15/15	15/15	8/15	14/15	15/15	15/15	8/15	0/0	5/15	15/15	15/15	15/15	15/15 WL1	14/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	7/15	14/15	11/15	6/15	0/0	11/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220228	15/15 WL1	15/15	15/15	15/15	15/15	0/0	15/15	14/15	9/15	11/15	15/15	15/15	9/15	14/15	15/15	15/15	8/15	0/0	5/15	15/15	15/15	15/15	15/15 WL1	14/15	5/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	7/15	15/15	11/15	6/15	0/0	11/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220301	15/15 WL1	15/15	15/15 WL1	15/15	15/15	0/0	15/15	15/15	10/15	12/15	15/15	15/15	10/15	14/15	15/15	15/15	8/15	0/0	5/15	15/15	14/15	15/15	15/15	15/15	6/15	4/15	1/15	5/15	0/0	0/0	15/15	15/15	7/15	15/15	12/15	7/15	0/0	11/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220302	15/15 WL1	15/15	15/15 WL1	15/15	15/15	0/0	15/15	15/15	10/15	15/15	15/15	14/15	10/15	14/15	15/15	15/15	8/15	0/0	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	1/0	2/0	0/0	0/0	15/15	15/15	7/15	15/15	11/15	7/15	0/0	14/15	15/15	15/15	15/15	14/15	N/A	N/A	N/A
220303	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	10/15	15/15	15/15	14/15	10/15	14/15	15/15	15/15	8/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	7/15	N/A	15/15	15/15	15/15	15/15	14/15	N/A	N/A	N/A
220304	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	10/15	15/15	15/15	15/15	10/15	14/15	15/15	15/15	9/15	N/A	5/15	15/15	15/15	14/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	6/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220305	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	10/15	15/15	15/15	15/15	10/15	14/15	15/15	15/15	10/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	11/15	6/15	N/A	15/15	15/15	15/15	14/15	15/15	N/A	N/A	N/A
220306	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	9/15	15/15	15/15	15/15	10/15	15/15	15/15	15/15	10/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	11/15	6/15	N/A	15/15	15/15	15/15	14/15	15/15	N/A	N/A	N/A
220307	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	9/15	15/15	15/15	15/15	10/15	15/15	15/15	15/15	10/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	11/15	6/15	N/A	15/15	15/15	15/15	15/15	14/15	N/A	N/A	N/A
220309	15/15 WL1	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	9/15	15/15	15/15	15/15	11/15	15/15	15/15	15/15	10/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	10/15	6/15	N/A	15/15	15/15	15/15	15/15	14/15	N/A	N/A	N/A
220310	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	9/15	15/15	15/15	15/15	11/15	15/15	15/15	15/15	10/15	N/A	5/15	15/15	15/15	15/15	15/15	14/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	10/15	6/15	N/A	15/15	15/15	15/15	15/15	14/15	N/A	N/A	N/A
220311	15/15	15/15	15/15 WL1	14/15	15/15	N/A	15/15	15/15	9/15	15/15	14/15	15/15	11/15	15/15	15/15	14/15	11/15	N/A	5/15	15/15	15/15	15/15	15/15	14/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	12/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220312	15/15	15/15	15/15 WL1	14/15	15/15	N/A	15/15	15/15	7/15	15/15	14/15	15/15	11/15	15/15	15/15	15/15	11/15	N/A	5/15	15/15	15/15	15/15	15/15	14/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220314	15/15	15/15	15/15 WL2	15/15	15/15	N/A	15/15	15/15	7/15	14/15	15/15	15/15	11/15	15/15	15/15	15/15	11/15	N/A	5/15	15/15	15/15	14/15	15/15	14/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220316	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	15/15	8/15	14/15	15/15	15/15	11/15	15/15	15/15	15/15 WL1	11/15	N/A	5/15	15/15	15/15	14/15	14/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220317	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	14/15	8/15	14/15	15/15	15/15	11/15	15/15	15/15	15/15 WL1	11/15	N/A	5/15	15/15	15/15	14/15	14/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	14/15	15/15	7/15	15/15	11/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220321	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	14/15	7/15	15/15	15/15	15/15	11/15	15/15	15/15	15/15 WL1	11/15	N/A	5/15	14/15	15/15	14/15	14/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	11/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220323	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	14/15	7/15	15/15	15/15	15/15	11/15	15/15	15/15	15/15 WL1	12/15	N/A	5/15	15/15	15/15	14/15	14/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	12/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220324	15/15	15/15	15/15 WL1	15/15	15/15	N/A	15/15	14/15	8/15	15/15	15/15	15/15	11/15	15/15	15/15	15/15 WL1	12/15	N/A	5/15	15/15	15/15	14/15	14/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	12/15	8/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220328	15/15	15/15	15/15 WL1	15/15	15/15 WL1	N/A	15/15	15/15	8/15	14/15	15/15	15/15	10/15	15/15	15/15	15/15	12/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	13/15	5/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220328	15/15	15/15	15/15 WL1	15/15	15/15 WL1	N/A	15/15	15/15	8/15	13/15	15/15	15/15	11/15	15/15	15/15	15/15	12/15	N/A	5/15	15/15	15/15	15/15	15/15	15/15	6/15	4/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	15/15	15/15 WL1	5/15	N/A	15/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220330	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	8/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	12/15	N/A	6/15	15/15	15/15	15/15	15/15 WL1	15/15	7/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	15/15 WL1	4/15	N/A	15/15	15/15	15/15 WL1	15/15	15/15	N/A	N/A	N/A
220331	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	8/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	12/15	N/A	6/15	15/15	15/15	14/15	15/15 WL1	15/15	7/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	15/15	15/15 WL1	5/15	N/A	15/15	15/15	15/15 WL1	15/15	13/15	N/A	N/A	N/A
220404	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	7/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	13/15	N/A	6/15	15/15	15/15	14/15	15/15 WL1	15/15	8/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	14/15	15/15	5/15	N/A	14/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220405	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	6/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	13/15	N/A	6/15	15/15	15/15	14/15	15/15 WL1	15/15	8/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	14/15	15/15	5/15	N/A	14/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220408	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	6/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	13/15	N/A	6/15	15/15	15/15	14/15	15/15	15/15	9/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	8/15	14/15	15/15	5/15	N/A	14/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220412	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	6/15	14/15	15/15	15/15	12/15	15/15	15/15	15/15	13/15	N/A	6/15	15/15	15/15	14/15	15/15	15/15	9/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	14/15	14/15	5/15	N/A	14/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220417	15/15	15/15	14/15	15/15	15/15	N/A	15/15	15/15	6/15	13/15	15/15	15/15	12/15	15/15	15/15	15/15	13/15	N/A	6/15	15/15	15/15	14/15	15/15	15/15	9/15	3/15	N/A	N/A	N/A	N/A	15/15	15/15	7/15	14/15	14/15	5/15	N/A	12/15	15/15	15/15	15/15	15/15	N/A	N/A	N/A
220417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6/15	9/15	15/15 WL2
220417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	9/15	2/15	6/15
220625	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	13/15	14/15 WL3	15/15 WL3
