DATE	001	002	003	004	005	006	007	008	009	010	011	012	013	014	015	016	017	018	019	020	021	022	023	024	025	026	027	028	029	030	031	032	033	034	035	036	037	038	039	040	041	042	043	044	045	046	047	048	049	050	051	052	053	054	055	056	057	058	059	060	061	062	063	064	065
220311	2	0	0	3	0	1	1	2	3	1	1	0	0	4	0	0	1	2	1	0	4	1	4	2	0	3	0	0	1	3	0	4	3	1	3	0	0	0	2	1	0	1	0	0	2	0	1	1	0	0	1	0	2	2	0	2	0	2	4	1	3	0	5	2	2
220314	2	0	0	3	0	1	2	2	3	1	1	0	0	4	0	0	1	2	1	0	4	1	4	3	0	3	0	0	1	3	0	4	3	1	3	0	0	0	2	1	0	1	0	0	2	0	1	1	0	0	1	0	2	2	0	2	0	2	4	1	3	0	5	2	2
220316	2	1	0	4	0	1	2	2	3	1	1	0	0	4	0	0	1	2	2	0	6	1	4	4	1	3	0	0	1	5	0	4	3	2	3	0	0	0	2	1	0	1	0	0	2	0	1	1	0	0	1	0	2	2	0	2	0	2	4	1	4	0	6	2	2
220317	2	1	0	4	0	1	2	2	3	1	1	0	0	4	0	0	1	2	2	0	9	1	5	4	1	3	3	1	1	5	0	4	3	2	3	0	0	0	2	1	0	1	0	0	2	0	1	1	0	0	1	0	2	2	0	2	0	2	5	1	4	0	6	2	2
220321	2	1	0	4	0	1	2	2	4	1	1	0	0	5	0	0	1	2	2	0	11	1	6	4	1	3	3	1	1	6	0	4	3	2	4	0	0	0	3	1	0	1	0	2	3	0	1	2	0	0	1	0	3	2	0	2	0	2	6	1	4	0	6	2	2
220323	2	1	0	4	0	1	2	2	5	1	1	0	0	5	0	0	1	2	2	0	11	1	6	5	1	3	3	1	1	6	0	4	3	2	4	0	0	0	3	1	0	1	0	2	3	0	1	2	0	0	1	0	3	2	0	2	0	2	6	1	4	0	6	2	2
220328	2	1	0	4	0	1	2	2	5	2	1	0	0	5	0	0	1	2	2	0	11	2	6	5	1	3	3	1	1	6	0	4	3	2	4	0	0	0	3	1	0	1	0	2	3	0	3	2	0	0	1	0	3	2	0	2	0	2	7	1	4	0	6	2	2
220330	2	1	0	4	0	1	2	2	6	2	1	0	0	5	0	0	1	2	2	0	11	2	6	5	1	3	3	1	1	6	0	5	3	3	4	0	0	0	3	1	0	1	0	2	3	0	4	2	0	0	1	0	3	2	0	2	0	2	6	1	4	0	6	2	2
220331	2	1	0	4	0	1	2	2	6	2	1	0	0	5	0	0	1	2	2	0	11	2	6	5	1	3	3	1	1	7	0	5	3	3	4	0	0	0	3	1	0	1	0	2	3	0	4	2	0	0	1	0	3	2	0	2	0	2	6	1	4	0	6	2	2
220404	2	1	0	4	0	1	2	2	6	2	1	0	0	5	0	0	0	2	2	0	11	2	6	5	1	3	3	1	1	7	0	5	3	3	4	0	0	0	3	1	0	1	0	2	3	0	4	2	0	0	1	0	3	2	0	2	0	3	6	1	4	0	6	2	2
220406	2	1	0	4	1	1	2	2	6	2	1	0	0	5	0	0	0	2	2	0	12	2	6	5	1	3	4	1	1	7	0	5	3	3	4	0	0	0	3	1	0	1	0	2	3	0	4	2	0	0	1	0	3	2	0	2	0	3	6	1	4	0	6	2	2
220408	2	1	0	4	1	1	2	2	7	2	1	0	0	5	0	0	0	2	2	0	12	2	6	5	1	3	4	1	1	7	0	5	4	3	4	0	0	0	3	1	0	1	0	3	3	0	5	2	0	0	1	0	3	2	0	2	0	3	6	1	4	0	6	2	2
220417	2	1	0	4	1	1	2	2	7	2	1	0	0	5	0	0	1	2	2	0	12	2	6	5	1	3	4	1	1	7	0	5	4	3	4	0	0	0	3	1	0	1	0	3	3	0	5	2	0	0	1	0	3	2	0	2	0	3	6	1	4	0	6	2	2
220823	0/999	0/999	2/999	1/999	0/999	1/999	0/999	2/999	2/999	1/999	0/999	4/999	0/999	0/999	2/999	1/999	0/999	3/999	2/999	3/999	0/999	0/999	2/999	2/999	0/999	0/999	4/999	0/999	1/999	2/999	1/999	3/999	0/999	1/999	0/999	0/999	2/999	0/999	0/999	1/999	0/999	0/999	0/999	0/999	0/999	0/999	2/999	0/999	0/999	0/999	0/999	0/999	1/999	3/999	1/999	3/999	0/999	2/999	1/999	0/999	N/A	N/A	N/A	N/A	N/A
